Row Labels,M,F,R,L,P,NM,NF,NR,NL,NP
LC,380000.000,1.000,403.000,0.000,0.000,0.012,0.000,0.556,0.000,0.000
LE,170000.000,1.000,393.000,0.000,0.000,0.005,0.000,0.542,0.000,0.000
LHN,140000.000,1.000,204.000,0.000,0.000,0.004,0.000,0.281,0.000,0.000
LKP,170000.000,1.000,213.000,0.000,0.000,0.005,0.000,0.294,0.000,0.000
LL,140000.000,1.000,338.000,0.000,0.000,0.004,0.000,0.466,0.000,0.000
LN,220000.000,1.000,507.000,0.000,0.000,0.007,0.000,0.699,0.000,0.000
LNF,90000.000,1.000,512.000,0.000,0.000,0.002,0.000,0.706,0.000,0.000
LRY,380000.000,1.000,74.000,0.000,0.000,0.012,0.000,0.102,0.000,0.000
LZ,129600.000,3.000,210.000,77.000,24.749,0.004,0.010,0.290,0.106,0.051
MA1,875000.000,2.000,690.000,7.000,0.000,0.029,0.005,0.952,0.010,0.000
MAAG,380000.000,1.000,461.000,0.000,0.000,0.012,0.000,0.636,0.000,0.000
MAB,557142.857,7.000,317.000,197.000,51.215,0.018,0.029,0.437,0.271,0.106
MAD,340000.000,1.000,188.000,0.000,0.000,0.011,0.000,0.259,0.000,0.000
MAG,170000.000,1.000,325.000,0.000,0.000,0.005,0.000,0.448,0.000,0.000
MAK,170000.000,1.000,17.000,0.000,0.000,0.005,0.000,0.023,0.000,0.000
MAKZ,170000.000,1.000,44.000,0.000,0.000,0.005,0.000,0.061,0.000,0.000
MAN,380000.000,1.000,561.000,0.000,0.000,0.012,0.000,0.774,0.000,0.000
MAS,630000.000,2.000,11.000,217.000,0.000,0.020,0.005,0.015,0.298,0.000
MAT,365000.000,2.000,299.000,0.000,0.000,0.012,0.005,0.412,0.000,0.000
MATE,380000.000,1.000,298.000,0.000,0.000,0.012,0.000,0.411,0.000,0.000
MBA,144000.000,4.000,43.000,77.000,28.919,0.004,0.014,0.059,0.106,0.060
MBAF,380000.000,1.000,90.000,0.000,0.000,0.012,0.000,0.124,0.000,0.000
MBN,1245000.000,2.000,214.000,32.000,0.000,0.041,0.005,0.295,0.044,0.000
MCK,1065000.000,2.000,173.000,4.000,0.000,0.035,0.005,0.239,0.005,0.000
MDA,380000.000,1.000,573.000,0.000,0.000,0.012,0.000,0.790,0.000,0.000
MDE,155000.000,2.000,78.000,0.000,0.000,0.005,0.005,0.108,0.000,0.000
MDP,215000.000,2.000,24.000,0.000,0.000,0.007,0.005,0.033,0.000,0.000
ME,135000.000,2.000,183.000,0.000,0.000,0.004,0.005,0.252,0.000,0.000
MEAA,36000.000,1.000,183.000,0.000,0.000,0.001,0.000,0.252,0.000,0.000
MEQ,365000.000,2.000,271.000,0.000,0.000,0.012,0.005,0.374,0.000,0.000
MF,1130000.000,10.000,415.000,296.000,42.428,0.037,0.043,0.572,0.407,0.088
MFAR,380000.000,1.000,124.000,0.000,0.000,0.012,0.000,0.171,0.000,0.000
MFAS,4880000.000,1.000,587.000,0.000,0.000,0.163,0.000,0.810,0.000,0.000
MFG,385000.000,1.000,466.000,0.000,0.000,0.012,0.000,0.643,0.000,0.000
MFZ,365000.000,2.000,278.000,0.000,0.000,0.012,0.005,0.383,0.000,0.000
MGA,375000.000,2.000,276.000,0.000,0.000,0.012,0.005,0.381,0.000,0.000
MHB,380000.000,1.000,557.000,0.000,0.000,0.012,0.000,0.768,0.000,0.000
MHF,330000.000,3.000,250.000,180.000,127.279,0.010,0.010,0.345,0.247,0.263
MHNI,380000.000,1.000,328.000,0.000,0.000,0.012,0.000,0.452,0.000,0.000
MHP,200000.000,1.000,104.000,0.000,0.000,0.006,0.000,0.143,0.000,0.000
MHW,240000.000,1.000,331.000,0.000,0.000,0.007,0.000,0.457,0.000,0.000
MJ,5313333.333,3.000,462.000,154.000,69.296,0.177,0.010,0.637,0.212,0.143
MJA,247500.000,4.000,148.000,104.000,60.044,0.008,0.014,0.204,0.143,0.124
MKA,380000.000,1.000,471.000,0.000,0.000,0.012,0.000,0.650,0.000,0.000
MKF,273333.333,3.000,415.000,0.000,0.000,0.008,0.010,0.572,0.000,0.000
MLH,170000.000,1.000,321.000,0.000,0.000,0.005,0.000,0.443,0.000,0.000
MLP,170000.000,2.000,232.000,18.000,0.000,0.005,0.005,0.320,0.025,0.000
MLR,170000.000,1.000,305.000,0.000,0.000,0.005,0.000,0.421,0.000,0.000
MM,90000.000,1.000,638.000,0.000,0.000,0.002,0.000,0.880,0.000,0.000
MNH,730000.000,1.000,89.000,0.000,0.000,0.024,0.000,0.123,0.000,0.000
MNS,380000.000,1.000,45.000,0.000,0.000,0.012,0.000,0.062,0.000,0.000
MO,373333.333,3.000,44.000,69.000,4.950,0.012,0.010,0.061,0.095,0.010
MOZ,225000.000,1.000,197.000,0.000,0.000,0.007,0.000,0.272,0.000,0.000
MQ,263333.333,3.000,428.000,205.000,126.572,0.008,0.010,0.590,0.282,0.262
MRA,380000.000,1.000,237.000,0.000,0.000,0.012,0.000,0.327,0.000,0.000
MRAF,80000.000,1.000,69.000,0.000,0.000,0.002,0.000,0.095,0.000,0.000
MRB,380000.000,1.000,368.000,0.000,0.000,0.012,0.000,0.508,0.000,0.000
MRF,380000.000,1.000,410.000,0.000,0.000,0.012,0.000,0.566,0.000,0.000
MRH,380000.000,1.000,108.000,0.000,0.000,0.012,0.000,0.149,0.000,0.000
MRM,385000.000,2.000,191.000,0.000,0.000,0.012,0.005,0.263,0.000,0.000
MRN,380000.000,1.000,104.000,0.000,0.000,0.012,0.000,0.143,0.000,0.000
MRW,730000.000,1.000,383.000,0.000,0.000,0.024,0.000,0.528,0.000,0.000
MSH,170000.000,1.000,356.000,0.000,0.000,0.005,0.000,0.491,0.000,0.000
MSI,170000.000,1.000,311.000,0.000,0.000,0.005,0.000,0.429,0.000,0.000
MSM,222500.000,4.000,329.000,109.000,20.033,0.007,0.014,0.454,0.150,0.041
MSMM,170000.000,5.000,197.000,175.000,17.076,0.005,0.019,0.272,0.240,0.035
MSO,365000.000,2.000,54.000,0.000,0.000,0.012,0.005,0.074,0.000,0.000
MSPA,47500.000,2.000,115.000,225.000,0.000,0.001,0.005,0.159,0.309,0.000
MT,730000.000,1.000,566.000,0.000,0.000,0.024,0.000,0.781,0.000,0.000
MTC,488000.000,5.000,407.000,321.000,133.120,0.016,0.019,0.561,0.441,0.275
MTR,380000.000,1.000,426.000,0.000,0.000,0.012,0.000,0.588,0.000,0.000
MUA,380000.000,1.000,558.000,0.000,0.000,0.012,0.000,0.770,0.000,0.000
MUAQ,365000.000,2.000,200.000,0.000,0.000,0.012,0.005,0.276,0.000,0.000
MUR,170000.000,1.000,97.000,0.000,0.000,0.005,0.000,0.134,0.000,0.000
MX,140000.000,1.000,68.000,0.000,0.000,0.004,0.000,0.094,0.000,0.000
MXA,130000.000,2.000,73.000,0.000,0.000,0.004,0.005,0.101,0.000,0.000
MXAM,170000.000,2.000,249.000,0.000,0.000,0.005,0.005,0.343,0.000,0.000
MY,190000.000,3.000,395.000,132.000,90.510,0.006,0.010,0.545,0.181,0.187
MYH,380000.000,1.000,17.000,0.000,0.000,0.012,0.000,0.023,0.000,0.000
MYK,410000.000,1.000,88.000,0.000,0.000,0.013,0.000,0.121,0.000,0.000
MZA,480000.000,5.000,320.000,130.000,34.220,0.015,0.019,0.441,0.179,0.071
MZF,145000.000,1.000,697.000,0.000,0.000,0.004,0.000,0.961,0.000,0.000
MZH,380000.000,1.000,451.000,0.000,0.000,0.012,0.000,0.622,0.000,0.000
MZK,140000.000,1.000,239.000,0.000,0.000,0.004,0.000,0.330,0.000,0.000
MZP,175000.000,2.000,110.000,145.000,0.000,0.005,0.005,0.152,0.199,0.000
MZR,380000.000,1.000,473.000,0.000,0.000,0.012,0.000,0.652,0.000,0.000
MZX,730000.000,1.000,477.000,0.000,0.000,0.024,0.000,0.658,0.000,0.000
MZY,472500.000,4.000,299.000,89.000,14.742,0.015,0.014,0.412,0.122,0.030
NAD,240000.000,1.000,362.000,0.000,0.000,0.007,0.000,0.499,0.000,0.000
NAH,410000.000,1.000,86.000,0.000,0.000,0.013,0.000,0.119,0.000,0.000
NAJ,380000.000,1.000,74.000,0.000,0.000,0.012,0.000,0.102,0.000,0.000
