Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
MHA,0,0,0,1,0,1,1,0,0,3
MHB,0,0,0,0,0,1,0,0,0,4
MHF,0,1,0,0,0,1,1,0,0,5
MHNI,0,0,0,0,0,1,0,0,0,4
MHP,0,0,0,0,0,1,0,0,0,5
MHW,0,0,0,0,0,0,1,0,0,4
MI,0,0,0,0,0,1,0,0,0,3
MIA,0,0,0,0,0,1,0,0,0,1
MJ,0,0,0,0,0,1,1,0,0,4
MJA,0,1,1,0,0,1,1,0,0,5
MK,0,1,0,0,1,1,1,0,0,0
MKA,0,0,0,0,0,1,0,0,0,4
MKF,0,0,0,0,1,1,1,0,0,4
ML,1,0,1,0,1,0,1,0,0,0
MLH,0,0,0,0,0,0,1,0,0,4
MLP,0,0,0,0,0,0,1,0,0,5
MLR,0,0,0,0,0,0,1,0,0,4
MM,0,0,1,0,0,0,0,0,0,4
MN,0,0,0,0,0,1,1,0,0,0
MNH,0,0,0,0,0,1,0,0,0,5
MNM,0,0,0,0,0,1,1,0,0,1
MNS,0,0,0,0,0,1,0,0,0,5
MO,0,0,0,1,0,1,1,0,0,5
MOZ,1,0,0,0,0,0,0,0,0,5
MP,0,0,0,0,0,0,1,0,0,0
MQ,0,0,0,0,0,1,1,0,0,4
MR,1,0,1,1,1,1,1,0,0,2
MRA,0,0,0,0,0,1,0,0,0,5
MRAF,0,0,0,1,0,0,0,0,0,5
MRB,0,0,0,0,0,1,0,0,0,4
MRF,0,0,0,0,0,1,0,0,0,4
MRH,0,0,0,0,0,1,0,0,0,5
MRM,0,1,0,0,0,1,0,0,0,5
MRN,0,0,0,0,0,1,0,0,0,5
MRW,0,0,0,0,0,1,0,0,0,4
MS,0,0,1,0,1,1,1,0,0,0
MSH,0,0,0,0,0,0,1,0,0,4
MSI,0,0,0,0,0,0,1,0,0,4
MSM,0,0,0,0,0,1,1,0,0,4
MSMM,0,0,0,0,0,0,1,0,0,5
MSO,0,1,0,0,0,1,0,0,0,5
MSPA,0,0,0,0,1,0,0,0,0,5
MT,0,0,0,0,0,1,0,0,0,4
MTC,0,0,0,0,0,1,1,0,0,4
MTR,0,0,0,0,0,1,0,0,0,4
MUA,0,0,0,0,0,1,0,0,0,4
MUAQ,0,1,0,0,0,1,0,0,0,5
MUR,0,0,0,0,0,0,1,0,0,5
MX,0,0,0,1,0,0,0,0,0,5
MXA,0,0,1,0,0,0,1,0,0,5
MXAM,0,0,0,1,0,0,1,0,0,5
MY,0,0,0,0,1,1,0,0,0,4
MYH,1,0,0,0,0,0,0,0,0,5
MYK,0,0,0,0,0,1,0,0,0,5
MZ,0,1,1,1,0,1,1,1,0,2
MZA,0,0,0,1,0,1,1,0,0,4
MZF,0,0,0,0,0,1,0,0,0,4
MZH,0,0,0,0,0,1,0,0,0,4
MZK,0,0,0,1,0,0,0,0,0,5
MZP,0,0,0,0,0,0,1,0,0,5
MZR,0,0,0,0,0,1,0,0,0,4
MZX,0,0,0,0,0,1,0,0,0,4
MZY,0,0,0,0,0,0,1,0,0,4
NA,0,1,1,1,1,1,1,0,0,0
NAD,0,0,0,1,0,0,0,0,0,4
NAH,0,0,0,0,0,1,0,0,0,5
NAJ,0,0,0,0,0,1,0,0,0,5
