NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
180;GA;339230.769;13;178;485;41.675;0.011;0.058;0.246;0.666;0.086
181;GBA;140000;1;27;0;0;0.004;0;0.037;0;0
182;GD;380000;1;148;0;0;0.012;0;0.204;0;0
183;GF;380000;2;40;402;0;0.012;0.005;0.055;0.552;0
184;GG;365000;2;33;0;0;0.012;0.005;0.046;0;0
185;GM;143333.333;3;15;233;164.756;0.004;0.01;0.021;0.32;0.341
186;GMN;155000;2;228;0;0;0.005;0.005;0.314;0;0
187;GR;256428.571;7;64;556;103.291;0.008;0.029;0.088;0.764;0.214
188;GRN;1262000;5;215;13;2.754;0.042;0.019;0.297;0.018;0.006
189;GS;130000;2;14;315;0;0.004;0.005;0.019;0.433;0
190;GSAI;170000;1;200;0;0;0.005;0;0.276;0;0
191;GT;380000;1;453;0;0;0.012;0;0.625;0;0
192;GTZ;445000;1;451;0;0;0.014;0;0.622;0;0
193;GZ;1081000;3;109;213;130.815;0.036;0.01;0.15;0.293;0.27
194;HA;244121.212;33;68;621;28.197;0.008;0.155;0.094;0.853;0.058
195;HAK;1740000;1;711;0;0;0.058;0;0.981;0;0
196;HAN;170000;1;288;0;0;0.005;0;0.397;0;0
197;HAR;175000;2;159;0;0;0.005;0.005;0.219;0;0
198;HB;170000;3;92;132;73.539;0.005;0.01;0.127;0.181;0.152
199;HD;275000;2;340;10;0;0.009;0.005;0.469;0.014;0
200;HDH;260000;1;351;0;0;0.008;0;0.484;0;0
201;HDQ;380000;1;580;0;0;0.012;0;0.8;0;0
202;HF;575555.556;9;44;409;97.294;0.019;0.039;0.061;0.562;0.201
203;HFB;170000;1;639;0;0;0.005;0;0.881;0;0
204;HG;300333.333;6;121;77;18.501;0.009;0.024;0.167;0.106;0.038
205;HGE;155000;2;186;0;0;0.005;0.005;0.257;0;0
206;HH;215000;2;408;16;0;0.007;0.005;0.563;0.022;0
207;HHR;180000;1;340;0;0;0.005;0;0.469;0;0
208;HI;948333.333;3;313;249;13.435;0.031;0.01;0.432;0.342;0.028
209;HK;150000;3;2;54;25.456;0.004;0.01;0.003;0.074;0.053
210;HM;368571.429;21;29;592;62.086;0.012;0.097;0.04;0.813;0.128
211;HNF;190000;1;11;0;0;0.006;0;0.015;0;0
212;HNI;220000;1;113;0;0;0.007;0;0.156;0;0
213;HP;470750;4;113;214;68.879;0.015;0.014;0.156;0.294;0.142
214;HR;370000;3;292;418;295.571;0.012;0.01;0.403;0.574;0.611
215;HRK;170000;1;150;0;0;0.005;0;0.207;0;0
216;HS;318500;10;3;683;65.003;0.01;0.043;0.004;0.938;0.134
217;HSB;170000;1;172;0;0;0.005;0;0.237;0;0
218;HU;80000;1;117;0;0;0.002;0;0.161;0;0
219;HV;380000;1;465;0;0;0.012;0;0.641;0;0
220;HZI;140000;1;141;0;0;0.004;0;0.194;0;0
221;IA;223714.286;28;59;447;28.489;0.007;0.13;0.081;0.614;0.059
222;IAP;170000;1;199;0;0;0.005;0;0.274;0;0
223;IAR;745000;1;278;0;0;0.024;0;0.383;0;0
224;IAS;380000;1;699;0;0;0.012;0;0.964;0;0
225;ID;140000;2;73;396;0;0.004;0.005;0.101;0.544;0
226;IF;260000;1;474;0;0;0.008;0;0.654;0;0
227;IG;380000;1;430;0;0;0.012;0;0.593;0;0
228;II;32000;1;519;0;0;0;0;0.716;0;0
229;IKB;730000;1;384;0;0;0.024;0;0.53;0;0
230;IM;335625;16;10;576;37.877;0.011;0.072;0.014;0.791;0.078
231;IMH;240000;2;639;0;0;0.007;0.005;0.881;0;0
232;IR;132857.143;7;18;178;16.931;0.004;0.029;0.025;0.245;0.035
233;IRM;170000;1;131;0;0;0.005;0;0.181;0;0
234;IS;323000;20;441;93;5.032;0.01;0.092;0.608;0.128;0.01
235;IT;365000;2;282;0;0;0.012;0.005;0.389;0;0
236;IX;170000;1;165;0;0;0.005;0;0.228;0;0
237;JA;426666.667;3;131;236;142.836;0.014;0.01;0.181;0.324;0.295
238;JD;1800000;1;482;0;0;0.06;0;0.665;0;0
239;JE;170000;1;354;0;0;0.005;0;0.488;0;0
240;JES;680000;2;93;31;0;0.022;0.005;0.128;0.043;0
241;JF;240000;3;423;43;12.021;0.007;0.01;0.583;0.059;0.025
242;JG;380000;1;405;0;0;0.012;0;0.559;0;0
243;JK;223200;5;37;63;12.816;0.007;0.019;0.051;0.087;0.026
244;JL;90000;1;31;0;0;0.002;0;0.043;0;0
245;JN;272500;4;8;177;99.604;0.008;0.014;0.011;0.243;0.206
246;JR;730000;1;649;0;0;0.024;0;0.895;0;0
247;JW;365000;2;233;0;0;0.012;0.005;0.321;0;0
248;KA;372039.474;152;8;710;5.488;0.012;0.729;0.011;0.975;0.011
249;KAA;1225000;1;197;0;0;0.04;0;0.272;0;0
250;KAB;170000;1;198;0;0;0.005;0;0.273;0;0
251;KAH;170000;1;290;0;0;0.005;0;0.4;0;0
252;KAK;170000;2;96;3;0;0.005;0.005;0.132;0.004;0
253;KAP;380000;1;129;0;0;0.012;0;0.178;0;0
254;KAW;370000;3;204;23;16.263;0.012;0.01;0.281;0.032;0.034
255;KD;365000;2;247;0;0;0.012;0.005;0.341;0;0
256;KF;140000;1;36;0;0;0.004;0;0.05;0;0
257;KG;309090.909;11;2;688;122.998;0.01;0.048;0.003;0.945;0.254
258;KH;223000;10;28;236;20.705;0.007;0.043;0.039;0.324;0.043
259;KI;380000;2;121;29;0;0.012;0.005;0.167;0.04;0
260;KK;156953.125;64;26;700;56.695;0.005;0.304;0.036;0.962;0.117
261;KL;90000;1;74;0;0;0.002;0;0.102;0;0
262;KLA;207500;4;73;28;16.166;0.006;0.014;0.101;0.038;0.033
263;KM;304875;16;21;640;55.524;0.01;0.072;0.029;0.879;0.115
264;KMA;145000;2;127;0;0;0.004;0.005;0.175;0;0
265;KMN;170000;2;311;12;0;0.005;0.005;0.429;0.016;0
266;KMS;436666.667;3;145;273;118.087;0.014;0.01;0.2;0.375;0.244
267;KN;182500;4;114;73;27.392;0.005;0.014;0.157;0.1;0.057
268;KNP;170000;1;192;0;0;0.005;0;0.265;0;0
269;KP;370000;3;53;119;84.146;0.012;0.01;0.073;0.163;0.174
270;KR;268750;4;60;636;279.048;0.008;0.014;0.083;0.874;0.577
271;KRT;1065000;2;180;7;0;0.035;0.005;0.248;0.01;0
272;KS;340000;6;390;187;12.054;0.011;0.024;0.538;0.257;0.025
273;KSB;170000;1;172;0;0;0.005;0;0.237;0;0
274;KSN;170000;1;639;0;0;0.005;0;0.881;0;0
275;KT;202000;5;103;530;251.076;0.006;0.019;0.142;0.728;0.519
276;KWNA;380000;1;144;0;0;0.012;0;0.199;0;0
277;KWNAS;170000;1;190;0;0;0.005;0;0.262;0;0
278;KY;380000;1;409;0;0;0.012;0;0.564;0;0
279;KZ;302592.593;27;198;425;31.352;0.009;0.126;0.273;0.584;0.065
280;LA;583000;5;115;597;94.196;0.019;0.019;0.159;0.82;0.195
281;LAL;170000;1;62;0;0;0.005;0;0.086;0;0
282;LB;980000;1;593;0;0;0.032;0;0.818;0;0
283;LBA;795000;3;445;229;130.815;0.026;0.01;0.614;0.315;0.27
284;LC;380000;1;403;0;0;0.012;0;0.556;0;0
285;LE;170000;1;393;0;0;0.005;0;0.542;0;0
286;LHN;140000;1;204;0;0;0.004;0;0.281;0;0
287;LK;322500;6;135;573;92.592;0.01;0.024;0.186;0.787;0.191
288;LKP;170000;1;213;0;0;0.005;0;0.294;0;0
289;LL;140000;1;338;0;0;0.004;0;0.466;0;0
290;LN;220000;1;507;0;0;0.007;0;0.699;0;0
291;LNF;90000;1;512;0;0;0.002;0;0.706;0;0
292;LRY;380000;1;74;0;0;0.012;0;0.102;0;0
293;LZ;129600;3;210;77;24.749;0.004;0.01;0.29;0.106;0.051
294;MA;453094.595;74;18;710;10.685;0.015;0.353;0.025;0.975;0.022
295;MA1;875000;2;690;7;0;0.029;0.005;0.952;0.01;0
296;MAA;324375;8;64;517;63.051;0.01;0.034;0.088;0.71;0.13
297;MAAG;380000;1;461;0;0;0.012;0;0.636;0;0
298;MAB;557142.857;7;317;197;51.215;0.018;0.029;0.437;0.271;0.106
299;MAD;340000;1;188;0;0;0.011;0;0.259;0;0
300;MAF;300000;6;206;432;84.127;0.009;0.024;0.284;0.593;0.174
301;MAG;170000;1;325;0;0;0.005;0;0.448;0;0
302;MAH;343333.333;6;22;492;105.082;0.011;0.024;0.03;0.676;0.217
303;MAK;170000;1;17;0;0;0.005;0;0.023;0;0
304;MAKZ;170000;1;44;0;0;0.005;0;0.061;0;0
305;MAN;380000;1;561;0;0;0.012;0;0.774;0;0
306;MAS;630000;2;11;217;0;0.02;0.005;0.015;0.298;0
307;MAT;365000;2;299;0;0;0.012;0.005;0.412;0;0
308;MATE;380000;1;298;0;0;0.012;0;0.411;0;0
309;MB;160952.381;21;3;574;86.794;0.005;0.097;0.004;0.788;0.179
310;MBA;144000;4;43;77;28.919;0.004;0.014;0.059;0.106;0.06
311;MBAF;380000;1;90;0;0;0.012;0;0.124;0;0
312;MBN;1245000;2;214;32;0;0.041;0.005;0.295;0.044;0
313;MCK;1065000;2;173;4;0;0.035;0.005;0.239;0.005;0
314;MD;744166.667;6;24;695;79.866;0.024;0.024;0.033;0.955;0.165
315;MDA;380000;1;573;0;0;0.012;0;0.79;0;0
316;MDE;155000;2;78;0;0;0.005;0.005;0.108;0;0
317;MDP;215000;2;24;0;0;0.007;0.005;0.033;0;0
318;ME;135000;2;183;0;0;0.004;0.005;0.252;0;0
319;MEAA;36000;1;183;0;0;0.001;0;0.252;0;0
320;MEQ;365000;2;271;0;0;0.012;0.005;0.374;0;0
321;MF;1130000;10;415;296;42.428;0.037;0.043;0.572;0.407;0.088
322;MFA;527500;6;50;536;64.169;0.017;0.024;0.069;0.736;0.133
323;MFAR;380000;1;124;0;0;0.012;0;0.171;0;0
324;MFAS;4880000;1;587;0;0;0.163;0;0.81;0;0
325;MFG;385000;1;466;0;0;0.012;0;0.643;0;0
326;MFZ;365000;2;278;0;0;0.012;0.005;0.383;0;0
327;MG;388750;4;56;645;171.823;0.012;0.014;0.077;0.886;0.355
328;MGA;375000;2;276;0;0;0.012;0.005;0.381;0;0
329;MH;451750;12;238;456;44.635;0.014;0.053;0.328;0.626;0.092
330;MHA;273333.333;6;173;342;84.088;0.008;0.024;0.239;0.47;0.174
331;MHB;380000;1;557;0;0;0.012;0;0.768;0;0
