NO,Row Labels, M ,F,R,L,P,NM,NF,NR,NL,NP
165,FGP, Rp380.000,00 ,1,466,0,0,00,0,012,0,000,0,643,0,000,0,000
166,FH, Rp311.111,11 ,9,40,391,64,22,0,010,0,039,0,055,0,537,0,133
167,FM, Rp215.000,00 ,6,99,296,90,28,0,007,0,024,0,137,0,407,0,187
168,FN, Rp380.000,00 ,1,166,0,0,00,0,012,0,000,0,229,0,000,0,000
169,FNK, Rp450.000,00 ,1,31,0,0,00,0,014,0,000,0,043,0,000,0,000
170,FO, Rp380.000,00 ,1,529,0,0,00,0,012,0,000,0,730,0,000,0,000
171,FP, Rp240.000,00 ,1,437,0,0,00,0,007,0,000,0,603,0,000,0,000
172,FQ, Rp292.000,00 ,5,56,527,187,21,0,009,0,019,0,077,0,724,0,387
173,FR, Rp260.000,00 ,2,292,149,0,00,0,008,0,005,0,403,0,205,0,000
174,FRW, Rp2.850.000,00 ,2,613,1,0,00,0,095,0,005,0,846,0,001,0,000
175,FS, Rp823.333,33 ,9,73,538,84,39,0,027,0,039,0,101,0,739,0,174
176,FSA, Rp170.000,00 ,1,200,0,0,00,0,005,0,000,0,276,0,000,0,000
177,FT, Rp140.000,00 ,1,36,0,0,00,0,004,0,000,0,050,0,000,0,000
178,FY, Rp170.000,00 ,1,93,0,0,00,0,005,0,000,0,128,0,000,0,000
179,FZ, Rp277.500,00 ,4,137,458,222,53,0,009,0,014,0,189,0,629,0,460
180,GA, Rp339.230,77 ,13,178,485,41,68,0,011,0,058,0,246,0,666,0,086
181,GBA, Rp140.000,00 ,1,27,0,0,00,0,004,0,000,0,037,0,000,0,000
182,GD, Rp380.000,00 ,1,148,0,0,00,0,012,0,000,0,204,0,000,0,000
183,GF, Rp380.000,00 ,2,40,402,0,00,0,012,0,005,0,055,0,552,0,000
184,GG, Rp365.000,00 ,2,33,0,0,00,0,012,0,005,0,046,0,000,0,000
185,GM, Rp143.333,33 ,3,15,233,164,76,0,004,0,010,0,021,0,320,0,341
186,GMN, Rp155.000,00 ,2,228,0,0,00,0,005,0,005,0,314,0,000,0,000
187,GR, Rp256.428,57 ,7,64,556,103,29,0,008,0,029,0,088,0,764,0,214
188,GRN, Rp1.262.000,00 ,5,215,13,2,75,0,042,0,019,0,297,0,018,0,006
189,GS, Rp130.000,00 ,2,14,315,0,00,0,004,0,005,0,019,0,433,0,000
190,GSAI, Rp170.000,00 ,1,200,0,0,00,0,005,0,000,0,276,0,000,0,000
191,GT, Rp380.000,00 ,1,453,0,0,00,0,012,0,000,0,625,0,000,0,000
192,GTZ, Rp445.000,00 ,1,451,0,0,00,0,014,0,000,0,622,0,000,0,000
193,GZ, Rp1.081.000,00 ,3,109,213,130,81,0,036,0,010,0,150,0,293,0,270
194,HA, Rp244.121,21 ,33,68,621,28,20,0,008,0,155,0,094,0,853,0,058
195,HAK, Rp1.740.000,00 ,1,711,0,0,00,0,058,0,000,0,981,0,000,0,000
196,HAN, Rp170.000,00 ,1,288,0,0,00,0,005,0,000,0,397,0,000,0,000
197,HAR, Rp175.000,00 ,2,159,0,0,00,0,005,0,005,0,219,0,000,0,000
198,HB, Rp170.000,00 ,3,92,132,73,54,0,005,0,010,0,127,0,181,0,152
